Unnamed: 0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
4,issue_comment,28,aio-libs,aioredis,popravich,2014-07-14 07:15:25,"Thanks, I will look through
",nan,nan
6,pull_request_commit_comment,28,aio-libs,aioredis,popravich,2014-07-16 11:56:30,"This util function is being used only two times.
Can you please make it a private method of `SortedSetCommandsMixin` (eg: `_convert_to_int_or_float`).

I am thinking on return values converters/decoders and I will come up with idea soon, so for now lets keep
such functions close to the code that uses them.
",667f24e3ab1aa458a2d80b46861b5f0c3e7ee096,"(None, '', u'aioredis/util.py')"
5,issue_comment,28,aio-libs,aioredis,jettify,2014-07-16 19:31:05,"done, but one test failed for  for _python 3.4_:

```
======================================================================
FAIL: test_pexpireat (tests.generic_commands_test.GenericCommandsTest)
----------------------------------------------------------------------
Traceback (most recent call last):
File ""tests/_testutil.py"", line 18, in wrapper
ret = loop.run_until_complete(fun(test, *args, **kw))
File ""/opt/python/3.4.0/lib/python3.4/asyncio/base_events.py"", line 208, in run_until_complete
return future.result()
File ""/opt/python/3.4.0/lib/python3.4/asyncio/futures.py"", line 243, in result
raise self._exception
File ""/opt/python/3.4.0/lib/python3.4/asyncio/tasks.py"", line 281, in _step
result = coro.send(value)
File ""tests/generic_commands_test.py"", line 314, in test_pexpireat
self.assertAlmostEqual(res, 1)
AssertionError: 0 != 1 within 7 places
```

unfortunately I can not reproduce on my localhost...
",nan,nan
 , , , , , , , , , 
 , , , , , , , , , 
