rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,220,nilearn,nilearn,dohmatob,2014-06-27 22:30:09,"Dependence on very old sklearn versions (<= 0.10) necessitates very heavy backports.

I find my self having to backport stuff like: LinearyClassifierMixin, LinearRegressorMixin, LabelBinarizer, roc_aux_score, _alpha_grid, etc.

The backports are getting quite heavy. This is a problem, and we should only support reasonably new sklearn versions.
",start issue,Dep on very old sklearn versions (<= 0.10) necessitates very heavy backports,depend old sklearn version 010 necessit heavi backport I find self backport stuff like linearyclassifiermixin linearregressormixin labelbinar rocauxscor alphagrid etc the backport get quit heavi thi problem support reason new sklearn version
issue_closed,220,nilearn,nilearn,dohmatob,2014-09-16 07:35:15,,closed issue,Dep on very old sklearn versions (<= 0.10) necessitates very heavy backports,
issue_comment,220,nilearn,nilearn,agramfort,2014-06-28 12:59:02,"not sure sure what is nilearn policy on sklearn version. @GaelVaroquaux any
opinion?
",,,sure sure nilearn polici sklearn version gaelvaroquaux opinion
issue_comment,220,nilearn,nilearn,AlexandreAbraham,2014-06-30 12:54:53,"I think that the policy is ""this should work on Ubuntu 12.04"". As this version is shipped with sklearn 0.10, I think that it's OK to drop all version below.
",,,I think polici work ubuntu 1204 As version ship sklearn 010 I think OK drop version
