rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,746,nilearn,nilearn,poldrack,2015-08-02 00:37:11,"datasets.haxby_dataset returns the file names as a list:
'anat': ['/Users/poldrack/nilearn_data/haxby2001/subj1/anat.nii.gz'],
whereas datasets.haxby_dataset_simple returns them as strings:
'func': '/Users/poldrack/nilearn_data/haxby2001_simple/pymvpa-exampledata/bold.nii.gz',

would be good to be consistent and return as lists as well from haxby_dataset_simple
",start issue,inconsistencies of returned values for haxby datasets,datasetshaxbydataset return file name list anat userspoldracknilearndatahaxby2001subj1anatniigz wherea datasetshaxbydatasetsimpl return string func userspoldracknilearndatahaxby2001simplepymvpaexampledataboldniigz would good consist return list well haxbydatasetsimpl
issue_closed,746,nilearn,nilearn,lesteve,2015-08-17 12:41:31,,closed issue,inconsistencies of returned values for haxby datasets,
issue_comment,746,nilearn,nilearn,lesteve,2015-08-03 12:49:41,"I _think_ this is because fetch_haxby can return multiple subjects data. 

For n_subjects=1 (which is the default), we could potentially transform single-element list into its element. What do you think @AlexandreAbraham?
",,,I think fetchhaxbi return multipl subject data for nsubjects1 default could potenti transform singleel list element what think alexandreabraham
issue_comment,746,nilearn,nilearn,AlexandreAbraham,2015-08-03 17:09:48,"> would be good to be consistent and return as lists as well from haxby_dataset_simple

Agreed.

> I think this is because fetch_haxby can return multiple subjects data. 

Yes, `fetch_haxby_simple` does not return lists for historical reasons. We should return lists everytime.
",,,agre ye return list histor reason We return list everytim
issue_comment,746,nilearn,nilearn,lesteve,2015-08-03 17:39:17,"> Yes, fetch_haxby_simple does not return lists for historical reasons. We should return lists everytime.

Fine with me.
",,,fine
issue_comment,746,nilearn,nilearn,lesteve,2015-08-04 06:36:13,"@KamalakerDadi are you up for this one?
",,,kamalakerdadi one
issue_comment,746,nilearn,nilearn,KamalakerDadi,2015-08-04 07:19:33,"Yes. I will.
",,,ye I
issue_comment,746,nilearn,nilearn,AlexandreAbraham,2015-08-04 08:21:00,"Since it's fast and it modifies one of the most used dataset, please put it at the top of your todo list.
",,,sinc fast modifi one use dataset pleas put top todo list
issue_comment,746,nilearn,nilearn,KamalakerDadi,2015-08-04 08:41:39,"I am afraid that I have insertions and editions in another branch `AutoExtractor`. I will soon commit and push these and shift to haxby.
",,,I afraid I insert edit anoth branch I soon commit push shift haxbi
