rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,1451,nilearn,nilearn,ahoyosid,2017-05-10 21:38:19,"In  /02_decoding/plot_simulated_data, the regressors are refereed as classifiers. This can be confusing. 
Is this name intended?. If not, I'd suggest to change it to regressors or estimators.  ",start issue,Change variable name in plot_simulated_data,In 02decodingplotsimulateddata regressor refere classifi thi confus Is name intend If Id suggest chang regressor estim
issue_closed,1451,nilearn,nilearn,KamalakerDadi,2017-05-21 08:24:44,,closed issue,Change variable name in plot_simulated_data,
issue_comment,1451,nilearn,nilearn,KamalakerDadi,2017-05-18 08:13:49,+1 for estimators. Can you do a PR please ?,,,1 estim can PR pleas
issue_comment,1451,nilearn,nilearn,KamalakerDadi,2017-05-21 08:24:44,Closing in favour of PR #1457,,,close favour PR 1457
