rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,706,nilearn,nilearn,GaelVaroquaux,2015-07-17 16:12:52,"The best URL to grab it is
http://www.gin.cnrs.fr/AAL-217

This should be added to nilearn/datasets/atlas.py where other loaders for atlases are.

It should be a drop-in replacement for other atlases.
",start issue,Add an AAL downloader,the best url grab thi ad nilearndatasetsatlaspi loader atlas It dropin replac atlas
issue_closed,706,nilearn,nilearn,AlexandreAbraham,2015-08-25 10:49:29,,closed issue,Add an AAL downloader,
issue_comment,706,nilearn,nilearn,MartinPerez,2015-08-08 17:04:45,"@GaelVaroquaux By ""a drop-in replacement for other atlases"" do you mean something in addition to the implementation of the fetch_atlas function and documentation 
",,,gaelvaroquaux By dropin replac atlas mean someth addit implement fetchatla function document
issue_comment,706,nilearn,nilearn,AlexandreAbraham,2015-08-25 10:49:29,"Fixed by #758.
",,,fix 758
issue_comment,706,nilearn,nilearn,MartinPerez,2015-07-17 16:13:07,"Im on it
",,,Im
