rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,383,idan,oauthlib,lzulauf,2015-08-12 18:29:44,"While dependencies are listed in requirements.txt, they are missing from the install_requires list in setup.py. This prevents pip from automatically installing dependencies.

See pip documentation for install_requires here:
https://packaging.python.org/en/latest/requirements.html#install-requires-vs-requirements-files

It looks like at the least, install_requires should contain ['pyjwt', 'cryptography']

pip install oauthlib does not provide a working copy of oauthlib until the user either manually executes the requirements.txt file or manually installs pyjwt and cryptography.
",start issue,setup.py install_requires list is empty,while depend list requirementstxt miss installrequir list setuppi thi prevent pip automat instal depend see pip document installrequir It look like least installrequir contain pyjwt cryptographi pip instal oauthlib provid work copi oauthlib user either manual execut requirementstxt file manual instal pyjwt cryptographi
issue_closed,383,idan,oauthlib,lepture,2015-08-13 02:58:03,,closed issue,setup.py install_requires list is empty,
issue_comment,383,idan,oauthlib,lepture,2015-08-13 02:58:02,"Those dependencies are optional, they are in the `extra_requires`.
",,,those depend option
