rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,1338,nilearn,nilearn,xgrg,2016-12-07 11:24:32,Green was blue and vice versa. This commit fixes it.,start issue,Fixing the transparent colormaps,green blue vice versa thi commit fix
issue_closed,1338,nilearn,nilearn,GaelVaroquaux,2016-12-08 21:50:27,,closed issue,Fixing the transparent colormaps,
pull_request_title,1338,nilearn,nilearn,xgrg,2016-12-07 11:24:32,Green was blue and vice versa. This commit fixes it.,1c06fde31d73bb351850119a78c26e0db9e20c5a,Fixing the transparent colormaps,green blue vice versa thi commit fix
pull_request_merged,1338,nilearn,nilearn,GaelVaroquaux,2016-12-08 21:50:27,Fixing the transparent colormaps,2f6958a5826994ba925add2a75e4b3ec70e615c4,Pull request merge from xgrg/nilearn:patch-1 to nilearn/nilearn:master,fix transpar colormap
issue_comment,1338,nilearn,nilearn,GaelVaroquaux,2016-12-08 21:50:24,Good catch! Thx,,,good catch thx
pull_request_commit,1338,nilearn,nilearn,xgrg,2016-12-07 11:23:16,"Fixing the transparent colormaps

Green was blue and vice versa. This commit fixes it.",1c06fde31d73bb351850119a78c26e0db9e20c5a,,fix transpar colormap green blue vice versa thi commit fix
