rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,14,nilearn,nilearn,jaquesgrobler,2012-06-25 11:35:31,"Just an doctestmode comment

had more things here but they'd been changed or become redundant so removed them
",start issue,added comment,just doctestmod comment thing theyd chang becom redund remov
issue_closed,14,nilearn,nilearn,agramfort,2012-06-25 11:52:17,,closed issue,added comment,
pull_request_title,14,nilearn,nilearn,jaquesgrobler,2012-06-25 11:35:31,"Just an doctestmode comment

had more things here but they'd been changed or become redundant so removed them
",9c22f47dfc1df738851afecaac29d93adcab5454,added comment,just doctestmod comment thing theyd chang becom redund remov
pull_request_merged,14,nilearn,nilearn,agramfort,2012-06-25 11:52:17,added comment,6b87a1fdcccb361efc8f1c6379ed5fef6f594ac1,Pull request merge from Unknown:alexBranch to nilearn/nilearn:master,ad comment
issue_comment,14,nilearn,nilearn,agramfort,2012-06-25 11:52:23,"merged thx
",,,merg thx
pull_request_commit,14,nilearn,nilearn,jaquesgrobler,2012-06-25 11:27:15,added comment,9c22f47dfc1df738851afecaac29d93adcab5454,,ad comment
