rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,612,nilearn,nilearn,mrahim,2015-06-16 11:03:52,"Added mask_img in NiftiSpheresMasker docstring
",start issue,NiftiSpheresMasker Docstring,ad maskimg niftispheresmask docstr
issue_closed,612,nilearn,nilearn,AlexandreAbraham,2015-06-16 11:46:01,,closed issue,NiftiSpheresMasker Docstring,
pull_request_title,612,nilearn,nilearn,mrahim,2015-06-16 11:03:52,"Added mask_img in NiftiSpheresMasker docstring
",9cb73963cc7fdcbd4aad23c9a2ca195037cdf94d,NiftiSpheresMasker Docstring,ad maskimg niftispheresmask docstr
pull_request_merged,612,nilearn,nilearn,AlexandreAbraham,2015-06-16 11:46:01,NiftiSpheresMasker Docstring,087f70f9dfbeaa8d89d3a583cecb78d458d89d73,Pull request merge from mrahim/nilearn:patch-4 to nilearn/nilearn:master,niftispheresmask docstr
issue_comment,612,nilearn,nilearn,AlexandreAbraham,2015-06-16 11:46:09,"Thx.
",,,thx
pull_request_commit,612,nilearn,nilearn,mrahim,2015-06-16 11:03:26,"NiftiSpheresMasker Docstring

Added mask_img in NiftiSpheresMasker docstring",9cb73963cc7fdcbd4aad23c9a2ca195037cdf94d,,niftispheresmask docstr ad maskimg niftispheresmask docstr
