rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,863,nilearn,nilearn,GaelVaroquaux,2015-11-30 07:57:21,"We should add a small paragraph on the NiftiSphereMasker in the page doc/manipulating_visualizing/data_preparation.rst
",start issue,Add a small section on NiftiSphereMasker,We add small paragraph niftispheremask page docmanipulatingvisualizingdatapreparationrst
issue_closed,863,nilearn,nilearn,GaelVaroquaux,2015-12-02 17:14:54,,closed issue,Add a small section on NiftiSphereMasker,
issue_comment,863,nilearn,nilearn,mrahim,2015-11-30 08:33:56,"I'm on it.
",,,Im
