rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,285,idan,oauthlib,garcianavalon,2014-10-27 09:07:24,"fixes #284
The token contains a string with the scopes separated by spaces with key 'scope' instead of a list of string with key 'scopes'
I think is the only place where the documentation is wrong, let me know if further changes are needed.
",start issue,updated token endpoint documentation to reflect current behavior,fix 284 the token contain string scope separ space key scope instead list string key scope I think place document wrong let know chang need
issue_closed,285,idan,oauthlib,ib-lundgren,2014-10-27 14:06:13,,closed issue,updated token endpoint documentation to reflect current behavior,
pull_request_title,285,idan,oauthlib,garcianavalon,2014-10-27 09:07:24,"fixes #284
The token contains a string with the scopes separated by spaces with key 'scope' instead of a list of string with key 'scopes'
I think is the only place where the documentation is wrong, let me know if further changes are needed.
",f2b165cead46060cf1f60e89dc0e893136a5e2af,updated token endpoint documentation to reflect current behavior,fix 284 the token contain string scope separ space key scope instead list string key scope I think place document wrong let know chang need
pull_request_merged,285,idan,oauthlib,ib-lundgren,2014-10-27 14:06:13,updated token endpoint documentation to reflect current behavior,4712ce05b240680c5682c529bfa598a005994237,Pull request merge from garcianavalon/oauthlib:update_docs_token_creation to idan/oauthlib:master,updat token endpoint document reflect current behavior
issue_comment,285,idan,oauthlib,ib-lundgren,2014-10-27 14:06:08,"Thanks :)
",,,thank
pull_request_commit,285,idan,oauthlib,garcianavalon,2014-10-27 09:00:18,"updated token endpoint documentation to reflect current behavior,the token contains a string with the scopes separated by spaces",f2b165cead46060cf1f60e89dc0e893136a5e2af,,updat token endpoint document reflect current behaviorth token contain string scope separ space
