rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,384,idan,oauthlib,julienmeyer,2015-08-18 13:32:26,"Same problem as here : https://github.com/idan/oauthlib/issues/304 but with '(' and ')'
",start issue,"Not able to use (, ) is token request query",same problem
issue_closed,384,idan,oauthlib,thedrow,2016-12-06 13:25:34,,closed issue,"Not able to use (, ) is token request query",
