rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,958,nilearn,nilearn,GaelVaroquaux,2016-01-21 07:36:13,"Examples should almost always save outputs (and sometimes intermediate results), as this is what end-users want to do.

We have to keep in mind that many end-users learn to use Python for neuroimaging why nilearn, so they have no idea how to save things. In addition, they learn by copy-pasting the examples, for the better or the worst.
",start issue,Add more saving of outputs in examples,exampl almost alway save output sometim intermedi result endus want We keep mind mani endus learn use python neuroimag nilearn idea save thing In addit learn copypast exampl better worst
issue_comment,958,nilearn,nilearn,AlexandreAbraham,2016-01-21 10:01:52,"Doesn't it conflict with sphinx behavior?
",,,doesnt conflict sphinx behavior
issue_comment,958,nilearn,nilearn,GaelVaroquaux,2016-01-21 10:20:07,"> Doesn't it conflict with sphinx behavior?

I don't think so, it's just a few
""component_img.savefig('components.nii.gz')""
at the right place in the examples.
",,,I dont think componentimgsavefigcomponentsniigz right place exampl
issue_comment,958,nilearn,nilearn,AlexandreAbraham,2016-01-21 10:26:45,"Oh, OK, you were talking about the nifti files. I was thinking of the figures.
",,,Oh OK talk nifti file I think figur
issue_comment,958,nilearn,nilearn,GaelVaroquaux,2016-01-21 10:42:02,"> Oh, OK, you were talking about the nifti files. I was thinking of the figures.

Indeed niftifiles
",,,inde niftifil
issue_comment,958,nilearn,nilearn,banilo,2016-01-21 11:40:21,"> end-users

What's the difference between a user and an end-user?
",,,what differ user endus
issue_comment,958,nilearn,nilearn,banilo,2016-01-21 11:41:14,"+1 on more explicit saving to disc. I would also think that a) plotting (for paper) and b) dumping (to further inspect in Mango/Fslview etc.) are the main meta aims of the baseline end-user.
",,,1 explicit save disc I would also think plot paper b dump inspect mangofslview etc main meta aim baselin endus
issue_comment,958,nilearn,nilearn,GaelVaroquaux,2016-01-21 11:53:34,"> ```
> end-users
> ```
> 
> What's the difference between a user and an end-user?

I personnaly make no difference :)
",,,I personnali make differ
issue_comment,958,nilearn,nilearn,GaelVaroquaux,2016-01-21 11:55:37,"> I would also think that a) plotting (for paper) and b) dumping (to
> further inspect in Mango/Fslview etc.) are the main meta aims of the
> baseline end-user.

Yop!
",,,yop
