rectype,sha,ins_del_count,issueid,actor,date,text,similarity
pull_request_commit,b162da2f5d0a17c7fe81ad1c0ee9a6f62ae2628a,5942,1182,jeromedockes,2016-07-29 07:06:42,Rewrite Neurovault fetcher.,NA
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-26 07:54:26,"removed `nii_z`
",0.7240308228426638
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 19:15:18,"May be `new_img_like` here ?
",0.7083204592972301
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 18:19:25,"May be we should expose `from nilearn.image import load_img` than `check_niimg`.
",0.6646780701486584
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 19:14:28,"Can we use `load_img` here ?
",0.6369733164650995
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-26 07:53:06,"replaced `check_niimg` with `load_img`
",0.620670432713735
issue_comment,NA,NA,1182,jeromedockes,2016-07-27 14:39:00,"> Please don't rebase during discussions, it removes all the comments in github.

Sorry about that; thanks for the advice and help by the way.
",0.6173461146038809
pull_request_commit_comment,NA,NA,1182,AlexandreAbraham,2016-07-27 08:39:35,"Nitpicking : I would go for `math_img` and rely on `np.isfinite`.
",0.5955594022137134
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-27 14:22:37,"Done.
",0.5846413924813325
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-27 14:22:49,"Done.
",0.5846413924813325
pull_request_commit_comment,NA,NA,1182,AlexandreAbraham,2016-07-27 08:40:09,"I think `memory_level` is not necessary and may be confusing?
",0.5844588409899263
 , , , , , , , 
 , , , , , , , 
pull_request_commit,2dfda7daee4791a87abdc61ae4c2e3701c765aa0,401,1182,jeromedockes,2016-07-29 11:35:53,better __repr__ for special filter values and remove _KNOWN_BAD_IMAGE_IDS and _KNOWN_BAD_COLLECTION_IDS,NA
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 19:15:18,"May be `new_img_like` here ?
",0.6709356009707864
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 18:19:25,"May be we should expose `from nilearn.image import load_img` than `check_niimg`.
",0.6536935257740293
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-27 14:22:37,"Done.
",0.6133836423615275
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-27 14:22:49,"Done.
",0.6133836423615275
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 19:14:28,"Can we use `load_img` here ?
",0.5580402053782468
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-26 07:53:06,"replaced `check_niimg` with `load_img`
",0.550298237320094
pull_request_commit_comment,NA,NA,1182,AlexandreAbraham,2016-07-27 08:39:35,"Nitpicking : I would go for `math_img` and rely on `np.isfinite`.
",0.5318791108533234
pull_request_commit_comment,NA,NA,1182,AlexandreAbraham,2016-07-27 08:40:09,"I think `memory_level` is not necessary and may be confusing?
",0.5061569371560624
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-26 07:54:26,"removed `nii_z`
",0.5058111284645488
issue_comment,NA,NA,1182,jeromedockes,2016-07-27 14:39:00,"> Please don't rebase during discussions, it removes all the comments in github.

Sorry about that; thanks for the advice and help by the way.
",0.5043562063478562
 , , , , , , , 
 , , , , , , , 
pull_request_commit,c7438210cc167e2353282ff1f26fe8116315fbee,433,1182,jeromedockes,2016-07-29 14:01:54,split fetch_neurovault into fetch_neurovault_filtered and fetch_neurovault_ids,NA
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-26 07:54:26,"removed `nii_z`
",0.8203864321634866
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 19:15:18,"May be `new_img_like` here ?
",0.7442372053121854
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-27 14:22:37,"Done.
",0.7247432149296925
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-27 14:22:49,"Done.
",0.7247432149296925
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 18:19:25,"May be we should expose `from nilearn.image import load_img` than `check_niimg`.
",0.7216838720909088
issue_comment,NA,NA,1182,jeromedockes,2016-07-27 14:39:00,"> Please don't rebase during discussions, it removes all the comments in github.

Sorry about that; thanks for the advice and help by the way.
",0.7108235788465542
pull_request_commit_comment,NA,NA,1182,jeromedockes,2016-07-26 07:53:06,"replaced `check_niimg` with `load_img`
",0.7099062148136344
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-27 08:54:40,"> Is that really necessary? It adds complexity for no reason.

If I can answer you. Examples has a pretty printing statements which are actually vanished by bunch of warnings.
",0.6348181019151687
pull_request_commit_comment,NA,NA,1182,KamalakerDadi,2016-07-25 19:14:28,"Can we use `load_img` here ?
",0.6329079351484383
pull_request_commit_comment,NA,NA,1182,AlexandreAbraham,2016-07-27 08:39:35,"Nitpicking : I would go for `math_img` and rely on `np.isfinite`.
",0.6215163734445097
 , , , , , , , 
 , , , , , , , 
pull_request_commit,50f4737da963110004af387f666f4c740d49a617,1589,1182,jeromedockes,2016-08-16 09:45:47,remove sqlite storage of metadata.,NA
