rectype,sha,ins_del_count,issueid,actor,date,text,similarity
pull_request_commit,f8cb17ee55e7c05abce61e1481b3668666c1de1a,318,177,VirgileFritsch,2014-03-28 14:26:25,Localizer: Add example + function to download one structural image,NA
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 17:58:06,"It is, again, doable by using the ""move"" option of _fetch_files.
",0.42532650731211163
pull_request_commit_comment,NA,NA,177,VirgileFritsch,2014-03-27 17:00:27,"@bthirion Could you suggest relevant names where missing and correct my suggestions?
",0.40793265261745537
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 18:37:47,"Isn't the point of the file_name option to be changed for each file ?
",0.3781987880811437
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 17:57:37,"This behavior can be reproduced using the ""move"" option in _fetch_files.
",0.35564478887491646
 , , , , , , , 
 , , , , , , , 
pull_request_commit,b28f80346270231ff2ef253af7ef4c5cd37f0916,30,177,VirgileFritsch,2014-03-28 15:26:53,Localizer: Nice plot of background anat in example.,NA
pull_request_commit_comment,NA,NA,177,VirgileFritsch,2014-03-27 16:57:49,"Should document `file_name` parameter.
",0.4484094199093227
pull_request_commit_comment,NA,NA,177,VirgileFritsch,2014-03-27 16:54:51,"Should document subfolder_name parameter...
",0.443836577570457
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 18:37:47,"Isn't the point of the file_name option to be changed for each file ?
",0.4318071012583814
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 17:58:06,"It is, again, doable by using the ""move"" option of _fetch_files.
",0.4244441325339585
 , , , , , , , 
 , , , , , , , 
pull_request_commit,4b1804d475ca6e9703c51190391166844ed0ca32,197,177,VirgileFritsch,2014-03-31 11:34:55,Localizer: Better contrast names (WIP),NA
pull_request_commit_comment,NA,NA,177,bthirion,2014-03-30 20:49:57,"missing space
",0.6726911180009292
pull_request_commit_comment,NA,NA,177,bthirion,2014-03-30 20:31:37,"Sorry, what do you mean ?
",0.6505578541293502
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 18:37:25,"I don't get the point of appending things in `urls` as you only take elements from 0 to len(contrasts_wrapped) or am I wrong ?
",0.5882811566679136
pull_request_commit_comment,NA,NA,177,VirgileFritsch,2014-03-27 16:57:49,"Should document `file_name` parameter.
",0.558862017914129
pull_request_commit_comment,NA,NA,177,AlexandreAbraham,2014-03-27 18:37:47,"Isn't the point of the file_name option to be changed for each file ?
",0.5507543970060798
